epoch,lr-Adam,step,train_loss1_step,train_loss2_step,train_loss_step
,0.0001,49,,,
0,,49,0.015246042981743813,3.0528917704941705e-05,0.01549027394503355
,0.0001,99,,,
0,,99,0.007221294566988945,1.4496092262561433e-05,0.007337263319641352
,0.0001,149,,,
0,,149,0.006250893697142601,1.25760043374612e-05,0.006351501680910587
,0.0001,199,,,
0,,199,0.005540900398045778,1.1129847734991927e-05,0.005629939027130604
,0.0001,249,,,
0,,249,0.004387243650853634,8.84312430571299e-06,0.004457988776266575
